appid,name,content
2320,QUAKE II,quake ii 1990s action aliens arena shooter atmospheric classic co op fps fast paced first person gore great soundtrack horror moddable multiplayer old school retro sci fi shooter singleplayer 1990s action aliens arena shooter atmospheric classic co op fps fast paced first person gore great soundtrack horror moddable multiplayer old school retro sci fi shooter singleplayer shortly after landing on an alien surface you learn that hundreds of your men have been reduced to just a few now you must fight your way through heavily fortified military installations lower the city s defenses and shut down the enemy s war machine only then will the fate of humanity be known
2330,QUAKE II Mission Pack: The Reckoning,quake ii mission pack the reckoning action classic fps shooter action classic fps shooter you are part of an elite commando force that must infiltrate a hostile alien cite once inside you must scour industrial landscapes crawl through waterways and air ducts navigate treacherous canyons teeming with vicious mutants stow away on an alien spacecraft and destroy the enemy s secret moon base
2340,QUAKE II Mission Pack: Ground Zero,quake ii mission pack ground zero action classic fps shooter action classic fps shooter take out the big gun sounded simple enough except the strogg were waiting you and a few marines like you are the lucky ones you ve made it down in one piece and are still able to contact the fleet the gravity well the strogg s newest weapon in its arsenal against mankind is operational
2350,QUAKE III: Team Arena,quake iii team arena action arena shooter classic competitive fps fast paced multiplayer shooter action arena shooter classic competitive fps fast paced multiplayer shooter never before have the forces aligned united by name and by cause the fallen pagans crusaders intruders and stroggs must channel their power into an allied operation where teamwork is the only method of mass destruction four distinct games test each troop s synthesis and strength to exacting degrees
2360,HeXen: Beyond Heretic,hexen beyond heretic 1990s action class based classic dark fantasy fps fantasy old school rpg retro shooter singleplayer 1990s action class based classic dark fantasy fps fantasy old school rpg retro shooter singleplayer while you were battling the evil forces of d sparil the other serpent riders were busy sowing the seeds of destruction in other dimensions one such dimension is the decaying world where hexen takes place a world littered with the mangled corpses of nonbelievers and inhabited by the undead followers that executed them
2370,HeXen: Deathkings of the Dark Citadel,hexen deathkings of the dark citadel action classic dark fantasy fps fantasy retro shooter action classic dark fantasy fps fantasy retro shooter where hexen ends the true nightmare begins deathkings of the dark citadel is the only official expansion of the original hexen game this add on pack features 20 new single player levels from the original hexen team as well as a host of new multiplayer options
2390,Heretic: Shadow of the Serpent Riders,heretic shadow of the serpent riders 1990s action classic dark fantasy fps fantasy first person old school retro shooter singleplayer 1990s action classic dark fantasy fps fantasy first person old school retro shooter singleplayer in a twisted medieval dimension undead creatures and bestial horrors have done the unthinkable callously slaughtering your entire race your friends your family eliminated but the nightmare has just begun
2400,The Ship: Murder Party,the ship murder party action adventure assassin comedy difficult fps first person funny indie multiplayer mystery rpg replay value shooter simulation singleplayer stealth strategy stylized survival action adventure assassin comedy difficult fps first person funny indie multiplayer mystery rpg replay value shooter simulation singleplayer stealth strategy stylized survival the ship is a murder mystery multiplayer
2450,Bloody Good Time,bloody good time action comedy fps first person funny gore multiplayer shooter action comedy fps first person funny gore multiplayer shooter congratulations you ve just been cast in your first slasher movie by the notorious director x
2500,Shadowgrounds,shadowgrounds action adventure aliens co op gore horror indie isometric local co op multiplayer sci fi shooter singleplayer top down top down shooter twin stick shooter action adventure aliens co op gore horror indie isometric local co op multiplayer sci fi shooter singleplayer top down top down shooter twin stick shooter shadowgrounds breathes fresh air into the action genre with explosive combat sequences an innovative weapon upgrade system and an intriguing storyline the adrenaline pumping top down gameplay and audiovisual fireworks set the scene for this new action experience which also includes single computer split keyboard or joystick co op
2520,Gumboy - Crazy Adventures™,gumboy crazy adventures casual indie singleplayer casual indie singleplayer gumboy has fun and novel gameplay set in a richly imagined world with simple game controls gumboy lets the player bounce roll float and fly through the world additionally gumboy can change size shape and material
2590,Alpha Prime,alpha prime action difficult fps first person sci fi shooter singleplayer space action difficult fps first person sci fi shooter singleplayer space somewhere in deep space at an apparently abandoned mining base on the asteriod alpha prime something has gone terribly wrong miners were warned that the hubbardium they were mining was too dangerous but the lure of unimaginable wealth was too strong
2600,Vampire: The Masquerade - Bloodlines,vampire the masquerade bloodlines action action rpg adventure atmospheric classic cult classic dark female protagonist first person gothic great soundtrack horror masterpiece rpg singleplayer stealth story rich supernatural third person vampire action action rpg adventure atmospheric classic cult classic dark female protagonist first person gothic great soundtrack horror masterpiece rpg singleplayer stealth story rich supernatural third person vampire vampire the masquerade bloodlines delivers a new type of rpg experience one that blends all the core elements of a traditional rpg with the graphical richness immediacy and brutal combat of a first person action game the game plunges players into the dark and gritty vampire underworld of modern day l a as a creature of the night
2610,GUN™,gun action adventure atmospheric bullet time classic cult classic gore great soundtrack open world rpg sandbox shooter singleplayer story rich third person third person shooter violent western action adventure atmospheric bullet time classic cult classic gore great soundtrack open world rpg sandbox shooter singleplayer story rich third person third person shooter violent western when life robs colton white of all that matters the only thing left he can trust is his gun from award winning developer neversoft and accomplished screenwriter randall jahnson the mask of zorro the doors gun follows colton on his quest for discovery as he seeks to exact vengeful justice on those who have wronged him
2620,Call of Duty®,call of duty action america atmospheric classic co op difficult fps first person historical linear military multiplayer open world realistic shooter singleplayer story rich war world war ii zombies action america atmospheric classic co op difficult fps first person historical linear military multiplayer open world realistic shooter singleplayer story rich war world war ii zombies call of duty delivers the gritty realism and cinematic intensity of world war ii s epic battlefield moments like never before through the eyes of citizen soldiers and unsung heroes from an alliance of countries who together helped shape the course of modern history
2630,Call of Duty® 2,call of duty 2 action adventure atmospheric casual classic co op fps first person free to play historical military multiplayer shooter simulation singleplayer story rich war world war ii zombies action adventure atmospheric casual classic co op fps first person free to play historical military multiplayer shooter simulation singleplayer story rich war world war ii zombies call of duty 2 redefines the cinematic intensity and chaos of battle as seen through the eyes of ordinary soldiers fighting together in epic wwii conflicts the sequel to 2003 s call of duty winner of over 80 game of the year awards call of duty 2 offers more immense more intense more realistic battles than ever before thanks to
2640,Call of Duty: United Offensive,call of duty united offensive action atmospheric classic fps first person historical military multiplayer shooter singleplayer war world war ii action atmospheric classic fps first person historical military multiplayer shooter singleplayer war world war ii award winning developer gray matter interactive follows up on the success of infinity ward s call of duty winner of over 80 game of the year and 50 editors choice awards worldwide with call of duty united offensive
2710,Act of War: Direct Action,act of war direct action action rts strategy action rts strategy tomorrow s war is now ripped from today s headlines act of war direct action is a frightening tale of suspense international intrigue and geopolitical military conflict this real time strategy experience puts you squarely in control of counterterrorist forces and delivers a first look at tomorrow s war
2720,ThreadSpace: Hyperbol,threadspace hyperbol action indie space strategy action indie space strategy threadspace hyperbol is an action strategy game set in the distant future players battle each other on roads in space as they pilot massive ships capable of firing a wide variety of weapons create defenses coordinate with your team and launch an assault against your opponents to achieve victory
2780,ARMA: Combat Operations,arma combat operations action fps military shooter simulation tactical action fps military shooter simulation tactical sequel to the highly successful operation flashpoint arma combat operations is a first person tactical military shooter on the pc with large elements of realism and simulation this game features a blend of large scale military conflict spread across large areas alongside the more close quartered battles
